{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 1205.000, 2460.000, 0000.287, 0000.702, 0000.287, 1255.000, 0000.146, 2460.000, 0000.490
0000.400, 1127.000, 2356.000, 0000.275, 0000.702, 0000.275, 1229.000, 0000.143, 2356.000, 0000.478
0000.600, 1248.000, 2440.000, 0000.285, 0000.702, 0000.285, 1189.000, 0000.139, 2440.000, 0000.512
0000.800, 1190.000, 2435.000, 0000.284, 0000.702, 0000.284, 1244.000, 0000.145, 2435.000, 0000.489
