trace.txCount, trace.rxCount, loss, load,trace.offeredLoad, trace.throughput
323, 303, 6.1919503, 0.1,0.09969135802469135, 0.09351851851851851
661, 566, 14.372164, 0.2,0.20401234567901236, 0.17469135802469135
994, 816, 17.80684, 0.3,0.30679012345679013, 0.2518518518518518
1285, 981, 23.657587, 0.4,0.3966049382716049, 0.30277777777777776
1622, 1191, 26.633785, 0.5,0.5006172839506173, 0.3675925925925926
1860, 1463, 21.39785, 0.6,0.5740740740740741, 0.45154320987654323
2243, 1930, 13.909942, 0.7,0.6796969696969697, 0.5848484848484848
2518, 2266, 9.968228, 0.8,0.7771604938271605, 0.6993827160493827
2627, 2411, 8.222307, 0.9,0.8108024691358025, 0.7441358024691358
2606, 2417, 7.2524943, 1.0,0.804320987654321, 0.7459876543209877
2648, 2465, 6.8731117, 1.1,0.817283950617284, 0.7608024691358025
2656, 2483, 6.513554, 1.2,0.8197530864197531, 0.766358024691358
2654, 2528, 4.709872, 1.3,0.8182700525493398, 0.7794222655782709
2666, 2519, 5.476369, 1.4,0.8228395061728395, 0.7774691358024691
2704, 2511, 7.1005917, 1.5,0.8345679012345679, 0.775
