{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.100, 0299.000, 0299.000, 0000.035,      NaN, 0000.035, 0000.000, 0000.000, 0299.000, 0001.000
0000.200, 0587.000, 0587.000, 0000.069,      NaN, 0000.069, 0000.000, 0000.000, 0587.000, 0001.000
0000.300, 0935.000, 0935.000, 0000.109,      NaN, 0000.109, 0000.000, 0000.000, 0935.000, 0001.000
0000.400, 1171.000, 1171.000, 0000.137,      NaN, 0000.137, 0000.000, 0000.000, 1171.000, 0001.000
0000.500, 1482.000, 1483.000, 0000.173,      NaN, 0000.173, 0000.000, 0000.000, 1483.000, 0000.999
0000.600, 1686.000, 1687.000, 0000.197,      NaN, 0000.197, 0000.000, 0000.000, 1687.000, 0000.999
0000.700, 1954.000, 1956.000, 0000.228,      NaN, 0000.228, 0000.000, 0000.000, 1956.000, 0000.999
