trace.txCount, trace.rxCount, loss, load,trace.offeredLoad, trace.throughput
283, 279, 1.4134276, 0.1,0.08734567901234568, 0.08611111111111111
378, 374, 0.7936508, 0.2,0.11666666666666667, 0.1154320987654321
467, 446, 4.2826552, 0.3,0.1441358024691358, 0.13765432098765432
446, 432, 2.9147983, 0.4,0.13765432098765432, 0.13333333333333333
459, 436, 5.0108933, 0.5,0.14166666666666666, 0.1345679012345679
422, 390, 7.3459716, 0.6,0.13024691358024693, 0.12037037037037036
446, 425, 4.7085204, 0.7,0.13765432098765432, 0.13117283950617284
404, 377, 6.6831684, 0.8,0.12469135802469136, 0.11635802469135803
384, 355, 7.2916665, 0.9,0.11851851851851852, 0.1095679012345679
421, 390, 7.3634205, 1.0,0.12993827160493826, 0.12037037037037036
408, 365, 10.539216, 1.1,0.1259259259259259, 0.11265432098765432
355, 326, 8.450705, 1.2,0.1095679012345679, 0.10061728395061728
347, 307, 11.527377, 1.3,0.10709876543209877, 0.09475308641975308
309, 271, 12.621359, 1.4,0.09537037037037037, 0.08364197530864198
324, 289, 10.802469, 1.5,0.1, 0.08919753086419753
