{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0476.000, 1756.000, 0000.205, 0000.562, 0000.205, 1279.000, 0000.149, 1756.000, 0000.271
0000.400, 1671.000, 3551.000, 0000.414, 0000.548, 0000.414, 1879.000, 0000.219, 3551.000, 0000.471
0000.600, 2947.000, 5068.000, 0000.591, 0000.537, 0000.591, 2120.000, 0000.247, 5068.000, 0000.582
0000.800, 4393.000, 6895.000, 0000.804, 0000.538, 0000.804, 2500.000, 0000.292, 6895.000, 0000.637
0001.000, 5316.000, 8290.000, 0000.967, 0000.544, 0000.967, 2973.000, 0000.347, 8290.000, 0000.641
