{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0008.000, 1312.000, 0000.153, 0000.418, 0000.153, 1304.000, 0000.152, 1312.000, 0000.006
0000.400, 0104.000, 1176.000, 0000.137, 0000.477, 0000.137, 1072.000, 0000.125, 1176.000, 0000.088
0000.600, 0124.000, 1275.000, 0000.149, 0000.476, 0000.149, 1151.000, 0000.134, 1275.000, 0000.097
0000.800, 0096.000, 1246.000, 0000.145, 0000.459, 0000.145, 1149.000, 0000.134, 1246.000, 0000.077
0001.000, 0410.000, 1236.000, 0000.144, 0000.617, 0000.144, 0826.000, 0000.096, 1236.000, 0000.332
