{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0744.000, 1406.000, 0000.164, 0001.083, 0000.164, 0662.000, 0000.077, 1402.000, 0000.531
0000.400, 1827.000, 2401.000, 0000.279, 0001.077, 0000.280, 0573.000, 0000.067, 2395.000, 0000.763
0000.600, 2670.000, 3114.000, 0000.361, 0001.101, 0000.363, 0442.000, 0000.052, 3095.000, 0000.863
0000.800, 3472.000, 3812.000, 0000.442, 0001.099, 0000.445, 0340.000, 0000.040, 3792.000, 0000.916
0001.000, 3959.000, 4237.000, 0000.490, 0001.058, 0000.494, 0277.000, 0000.032, 4200.000, 0000.943
