{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0017.000, 0119.000, 0000.014, 0001.293, 0000.014, 0102.000, 0000.012, 0119.000, 0000.143
0000.400, 0014.000, 0168.000, 0000.020, 0001.196, 0000.020, 0154.000, 0000.018, 0168.000, 0000.083
0000.600, 0006.000, 0047.000, 0000.006, 0001.387, 0000.006, 0041.000, 0000.005, 0047.000, 0000.128
0000.800, 0000.000, 0008.000, 0000.001, 0001.235, 0000.001, 0008.000, 0000.001, 0008.000, 0000.000
0001.000, 0045.000, 0322.000, 0000.038, 0001.296, 0000.038, 0277.000, 0000.032, 0322.000, 0000.140
