{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.250, 1472.000, 2167.000, 0000.253, 0000.522, 0000.253, 2622.000, 0000.306, 2167.000, 0000.679
0000.500, 4975.000, 4272.000, 0000.498, 0000.519, 0000.498, 3141.000, 0000.366, 4272.000, 0001.165
0000.750, 8769.000, 6420.000, 0000.749, 0000.514, 0000.749, 3373.000, 0000.394, 6420.000, 0001.366
0001.000, 12745.000, 8533.000, 0000.996, 0000.514, 0000.996, 3363.000, 0000.392, 8533.000, 0001.494
0001.250, 16229.000, 10570.000, 0001.233, 0000.513, 0001.233, 3680.000, 0000.429, 10570.000, 0001.535
0001.500, 18920.000, 11899.000, 0001.388, 0000.508, 0001.388, 3494.000, 0000.408, 11898.000, 0001.590
