trace.txCount, trace.rxCount, loss, load,trace.offeredLoad, trace.throughput
263, 259, 1.5209125, 0.1,0.08117283950617284, 0.07993827160493827
443, 434, 2.0316026, 0.2,0.1367283950617284, 0.1339506172839506
524, 502, 4.1984735, 0.3,0.1617283950617284, 0.15493827160493828
559, 537, 3.7567084, 0.4,0.17253086419753086, 0.16574074074074074
584, 533, 8.561644, 0.5,0.18024691358024691, 0.16450617283950617
592, 560, 5.4054055, 0.6,0.18271604938271604, 0.1728395061728395
551, 508, 7.8039927, 0.7,0.17006172839506173, 0.15679012345679014
559, 516, 7.513417, 0.8,0.17253086419753086, 0.15925925925925927
515, 477, 7.76699, 0.9,0.15895061728395063, 0.14722222222222223
518, 464, 10.23166, 1.0,0.15987654320987654, 0.14320987654320988
495, 442, 10.30303, 1.1,0.1527777777777778, 0.13641975308641976
514, 456, 11.284047, 1.2,0.15864197530864196, 0.14074074074074075
484, 433, 10.53719, 1.3,0.14938271604938272, 0.13364197530864197
512, 451, 11.9140625, 1.4,0.1580246913580247, 0.13919753086419753
464, 409, 11.637931, 1.5,0.14320987654320988, 0.12623456790123458
