{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.100, 0000.000, 0003.000, 0000.000, 0001.595, 0000.000, 0003.000, 0000.000, 0003.000, 0000.000
0000.200, 0072.000, 0680.000, 0000.079, 0001.308, 0000.079, 0607.000, 0000.071, 0680.000, 0000.106
0000.300, 0081.000, 0675.000, 0000.079, 0001.303, 0000.079, 0594.000, 0000.069, 0675.000, 0000.120
0000.400, 0000.000, 0003.000, 0000.000, 0001.595, 0000.000, 0003.000, 0000.000, 0003.000, 0000.000
0000.500, 0054.000, 0652.000, 0000.076, 0001.054, 0000.076, 0598.000, 0000.070, 0652.000, 0000.083
0000.600, 0000.000, 0000.000, 0000.000,      NaN, 0000.000, 0000.000, 0000.000, 0000.000, 0000.000
0000.700, 0072.000, 0698.000, 0000.081, 0001.272, 0000.081, 0626.000, 0000.073, 0698.000, 0000.103
0000.800, 0000.000, 0003.000, 0000.000, 0001.595, 0000.000, 0003.000, 0000.000, 0003.000, 0000.000
0000.900, 0000.000, 0000.000, 0000.000,      NaN, 0000.000, 0000.000, 0000.000, 0000.000, 0000.000
