{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0000.000, 0028.000, 0000.003, 0000.512, 0000.003, 0028.000, 0000.003, 0028.000, 0000.000
0000.400, 0000.000, 0495.000, 0000.058, 0000.526, 0000.058, 0495.000, 0000.058, 0495.000, 0000.000
0000.600, 0002.000, 0516.000, 0000.060, 0000.519, 0000.060, 0514.000, 0000.060, 0516.000, 0000.004
0000.800, 0000.000, 0531.000, 0000.062, 0000.608, 0000.062, 0531.000, 0000.062, 0531.000, 0000.000
0001.000, 0003.000, 0512.000, 0000.060, 0000.612, 0000.060, 0509.000, 0000.059, 0512.000, 0000.006
