{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0656.000, 1914.000, 0000.223, 0001.419, 0000.223, 1257.000, 0000.147, 1914.000, 0000.343
0000.400, 0526.000, 1814.000, 0000.212, 0001.419, 0000.212, 1287.000, 0000.150, 1813.000, 0000.290
0000.600, 0556.000, 1800.000, 0000.210, 0001.419, 0000.210, 1243.000, 0000.145, 1800.000, 0000.309
0000.800, 0423.000, 1455.000, 0000.170, 0001.419, 0000.170, 1030.000, 0000.120, 1455.000, 0000.291
0001.000, 0594.000, 1933.000, 0000.226, 0001.419, 0000.226, 1339.000, 0000.156, 1933.000, 0000.307
