{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0006.000, 0057.000, 0000.007, 0001.244, 0000.007, 0051.000, 0000.006, 0057.000, 0000.105
0000.400, 0000.000, 0006.000, 0000.001, 0001.105, 0000.001, 0006.000, 0000.001, 0006.000, 0000.000
0000.600, 0018.000, 0216.000, 0000.025, 0001.197, 0000.025, 0198.000, 0000.023, 0216.000, 0000.083
0000.800, 0007.000, 0028.000, 0000.003, 0001.417, 0000.003, 0021.000, 0000.003, 0028.000, 0000.250
0001.000, 0014.000, 0109.000, 0000.013, 0001.268, 0000.013, 0095.000, 0000.011, 0109.000, 0000.128
