{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0614.000, 1699.000, 0000.198, 0001.087, 0000.198, 1085.000, 0000.127, 1699.000, 0000.361
0000.400, 2035.000, 3472.000, 0000.405, 0001.072, 0000.405, 1435.000, 0000.167, 3472.000, 0000.586
0000.600, 3581.000, 5092.000, 0000.594, 0001.069, 0000.594, 1507.000, 0000.176, 5092.000, 0000.703
0000.800, 4893.000, 6791.000, 0000.792, 0001.069, 0000.792, 1898.000, 0000.221, 6791.000, 0000.721
0001.000, 4135.000, 7672.000, 0000.894, 0001.084, 0000.894, 3535.000, 0000.412, 7672.000, 0000.539
