{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0696.000, 1383.000, 0000.161, 0001.056, 0000.161, 0687.000, 0000.080, 1380.000, 0000.504
0000.400, 1638.000, 2264.000, 0000.263, 0001.094, 0000.264, 0626.000, 0000.073, 2254.000, 0000.727
0000.600, 2599.000, 3090.000, 0000.359, 0001.094, 0000.361, 0491.000, 0000.057, 3073.000, 0000.846
0000.800, 3315.000, 3682.000, 0000.426, 0001.037, 0000.430, 0366.000, 0000.043, 3652.000, 0000.908
0001.000, 3982.000, 4247.000, 0000.492, 0001.017, 0000.496, 0262.000, 0000.031, 4216.000, 0000.945
