trace.txCount, trace.rxCount, loss, load,trace.offeredLoad, trace.throughput
440, 433, 1.8181819, 0.1,0.13580246913580246, 0.13364197530864197
441, 440, 0.22675736, 0.2,0.1361111111111111, 0.13580246913580246
447, 444, 0.8948546, 0.3,0.13796296296296295, 0.13703703703703704
433, 428, 1.3856813, 0.4,0.13364197530864197, 0.13209876543209875
441, 440, 0.22675736, 0.5,0.1361111111111111, 0.13580246913580246
455, 455, 0.0, 0.6,0.1404320987654321, 0.1404320987654321
441, 441, 0.0, 0.7,0.1361111111111111, 0.1361111111111111
451, 450, 0.22172949, 0.8,0.13919753086419753, 0.1388888888888889
451, 450, 0.0, 0.9,0.13919753086419753, 0.1388888888888889
441, 433, 1.8140589, 1.0,0.13363636363636364, 0.13121212121212122
442, 437, 0.9049774, 1.1,0.13641975308641976, 0.13487654320987655
458, 455, 0.4366812, 1.2,0.14135802469135803, 0.1404320987654321
432, 433, 0.0, 1.3,0.13302601859592886, 0.13333394919453054
434, 429, 1.1520737, 1.4,0.1339506172839506, 0.13240740740740742
449, 446, 0.4454343, 1.5,0.13858024691358026, 0.13765432098765432
