{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0623.000, 1365.000, 0000.159, 0000.548, 0000.159, 0742.000, 0000.087, 1364.000, 0000.457
0000.400, 1568.000, 2298.000, 0000.267, 0000.546, 0000.267, 0728.000, 0000.085, 2296.000, 0000.683
0000.600, 2454.000, 3161.000, 0000.367, 0000.541, 0000.369, 0706.000, 0000.082, 3147.000, 0000.780
0000.800, 3032.000, 3637.000, 0000.422, 0000.543, 0000.424, 0604.000, 0000.071, 3615.000, 0000.839
0001.000, 3616.000, 4159.000, 0000.484, 0000.529, 0000.485, 0543.000, 0000.063, 4146.000, 0000.872
