{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.200, 0469.000, 1351.000, 0000.158, 0000.803, 0000.158, 0882.000, 0000.103, 1351.000, 0000.347
0000.400, 1189.000, 2053.000, 0000.240, 0000.786, 0000.240, 0864.000, 0000.101, 2053.000, 0000.579
0000.600, 1660.000, 2401.000, 0000.280, 0000.798, 0000.280, 0740.000, 0000.086, 2401.000, 0000.691
0000.800, 1893.000, 2538.000, 0000.296, 0000.790, 0000.296, 0645.000, 0000.075, 2540.000, 0000.745
