{load}, {dropCount}, {enqueCount}, {simLoad}, {meanDelay}, {offeredLoard}, {rxCount}, {throughput}, {txCount}, {loss}
0000.250, 0566.000, 1632.000, 0000.190, 0000.525, 0000.190, 1065.000, 0000.124, 1632.000, 0000.347
0000.500, 1676.000, 2761.000, 0000.322, 0000.529, 0000.322, 1085.000, 0000.127, 2761.000, 0000.607
0000.750, 2742.000, 3629.000, 0000.423, 0000.516, 0000.423, 0886.000, 0000.103, 3628.000, 0000.756
0001.000, 3484.000, 4253.000, 0000.496, 0000.514, 0000.496, 0768.000, 0000.090, 4252.000, 0000.819
