trace.txCount, trace.rxCount, loss, load,trace.offeredLoad, trace.throughput
320, 294, 8.125, 0.1,0.09876543209876543, 0.09074074074074075
611, 492, 19.476269, 0.2,0.18858024691358025, 0.15185185185185185
1066, 688, 35.459663, 0.3,0.32901234567901233, 0.2123456790123457
1371, 790, 42.377827, 0.4,0.42314814814814816, 0.24382716049382716
1607, 970, 39.63908, 0.5,0.4959876543209877, 0.2993827160493827
1954, 1019, 47.850563, 0.6,0.6030864197530864, 0.31450617283950616
2326, 1568, 32.588135, 0.7,0.7179012345679012, 0.4839506172839506
2542, 2058, 19.040127, 0.8,0.7845679012345679, 0.6351851851851852
2640, 2281, 13.598485, 0.9,0.8148148148148148, 0.7040123456790124
2660, 2367, 11.052631, 1.0,0.8209876543209876, 0.7305555555555555
2681, 2405, 10.294666, 1.1,0.8274691358024692, 0.7422839506172839
2662, 2408, 9.5416975, 1.2,0.821604938271605, 0.7432098765432099
2682, 2429, 9.395973, 1.3,0.8277777777777777, 0.7496913580246913
2774, 2368, 14.635905, 1.4,0.8561728395061728, 0.7308641975308642
2737, 2428, 11.32627, 1.5,0.8447530864197531, 0.7493827160493827
