trace.txCount, trace.rxCount, loss, load,trace.offeredLoad, trace.throughput
353, 347, 1.4164306, 0.1,0.10895061728395061, 0.10709876543209877
354, 353, 0.56497175, 0.2,0.10925925925925926, 0.10895061728395061
357, 355, 0.28011206, 0.3,0.11018518518518519, 0.1095679012345679
366, 364, 0.5464481, 0.4,0.11248386501936197, 0.11186919909029441
362, 362, 0.0, 0.5,0.1117283950617284, 0.1117283950617284
364, 364, 0.0, 0.6,0.11234567901234568, 0.11234567901234568
345, 343, 0.5797101, 0.7,0.10648148148148148, 0.10586419753086419
366, 364, 0.27322406, 0.8,0.11296296296296296, 0.11234567901234568
351, 352, 0.0, 0.9,0.10833333333333334, 0.10864197530864197
365, 362, 0.5479452, 1.0,0.11265432098765432, 0.1117283950617284
349, 348, 0.28653294, 1.1,0.10771604938271605, 0.10740740740740741
371, 372, 0.0, 1.2,0.11450617283950618, 0.11481481481481481
339, 338, 0.0, 1.3,0.10462962962962963, 0.10432098765432099
366, 365, 0.0, 1.4,0.11296296296296296, 0.11265432098765432
376, 375, 0.0, 1.5,0.11604938271604938, 0.11574074074074074
